Feature,Impact,Feature Value
Min,-1.0451753075102899,1.0
Ast,-0.8431584619241039,0.0
Gls,-0.6813167974614044,0.0
G-PK,-0.6015665769559564,0.0
PrgP,-0.23916532837207344,0.0
90s,0.17349568275007185,0.0
npxG+xAG,-0.14589574555961007,0.0
xAG,-0.1229755858718272,0.0
PrgR,0.10771921371328064,0.0
Starts,0.0807545199352171,0.0
MP,0.06037245034582151,1.0
xG,-0.04041124476767439,0.0
PK,-0.03575327144797481,0.0
G+A_90,-0.034597850919381015,0.0
Age,0.030386180164277948,19.0
PKatt,-0.030021855884260727,0.0
PrgC,0.029376169043971452,0.0
G+A-PK_90,-0.0292452109020814,0.0
CrdY,-0.019279577885645265,0.0
Gls_90,-0.014821376501786242,0.0
Ast_90,-0.014037655350766724,0.0
npxG+xAG_90,0.013116582428447137,0.0
G-PK_90,-0.01224192953523015,0.0
xG+xAG_90,0.011241019312947171,0.0
npxG_90,0.006550792491107122,0.0
xG_90,0.004799562867410692,0.0
xAG_90,0.004238196077785702,0.0
CrdR,-0.0010919239466238599,0.0
npxG,-0.0007610919715808067,0.0
